,经度,纬度
0,112.863161,32.752732
1,112.863772,32.753407
2,112.863151,32.753574
3,112.863162,32.753039
4,112.863807,32.753248
5,112.863573,32.75263
6,112.863687,32.752702
7,112.863747,32.752967
8,112.863156,32.753628
9,112.863822,32.753352
10,112.863307,32.752693
11,112.863704,32.752792
12,112.863245,32.752696
13,112.863313,32.752695
14,112.863738,32.75293
15,112.863714,32.75343
16,112.863731,32.753424
17,112.863153,32.752774
18,112.863682,32.753441
19,112.86376,32.753413
20,112.863663,32.752618
21,112.86316,32.75293
22,112.86346,32.752651
23,112.863158,32.75327
24,112.863152,32.753506
25,112.863803,32.753219
26,112.863819,32.753329
27,112.863668,32.752633
28,112.863156,32.753379
29,112.863151,32.752792
30,112.863728,32.75289
31,112.863723,32.752871
32,112.863814,32.75338
33,112.863609,32.752625
34,112.863761,32.753027
35,112.8635,32.752643
36,112.863152,32.75314
37,112.863151,32.753577
38,112.863325,32.752699
39,112.8638,32.753197
