,经度,纬度
0,112.863163,32.753585
1,112.86316,32.75359
2,112.863152,32.753562
3,112.863153,32.753511
4,112.863177,32.753594
5,112.863159,32.753605
6,112.863163,32.753603
7,112.863182,32.753594
8,112.863214,32.753583
9,112.863227,32.753577
10,112.863246,32.753569
11,112.863284,32.753556
12,112.863339,32.75352
13,112.863342,32.753509
14,112.86334,32.75352
15,112.863342,32.753512
16,112.863341,32.753483
17,112.863335,32.753465
18,112.863334,32.753453
19,112.863326,32.753421
20,112.86332,32.753406
21,112.863315,32.75338
22,112.863309,32.753349
23,112.863306,32.753329
24,112.863301,32.753301
25,112.863291,32.753268
26,112.863287,32.753253
27,112.863284,32.753238
28,112.863273,32.7532
29,112.863266,32.753165
30,112.863258,32.753127
31,112.863252,32.753101
32,112.863245,32.753072
33,112.863236,32.753034
34,112.863232,32.753016
35,112.863226,32.752997
36,112.863222,32.752961
37,112.863217,32.752943
38,112.863208,32.752916
39,112.863201,32.752879
40,112.863196,32.752861
41,112.863188,32.752823
42,112.86318,32.752794
43,112.863175,32.752775
44,112.863166,32.752747
45,112.863161,32.752732
46,112.863166,32.752747
47,112.86318,32.752805
48,112.863173,32.7528
49,112.863159,32.752777
50,112.863153,32.752774
51,112.863152,32.753506
52,112.863155,32.753523
53,112.863161,32.753546
54,112.863181,32.753596
55,112.8632,32.753605
56,112.863186,32.753591
57,112.863187,32.753591
58,112.863187,32.753594
59,112.863187,32.753596
60,112.863186,32.753594
61,112.863186,32.753596
62,112.863186,32.753596
63,112.86318,32.753603
64,112.863176,32.753596
65,112.863183,32.753594
66,112.863151,32.753574
67,112.863151,32.753574
68,112.863151,32.753577
69,112.863173,32.753583
70,112.863198,32.75358
71,112.863286,32.753546
72,112.863339,32.753511
73,112.863319,32.753527
74,112.863323,32.753506
75,112.863316,32.753478
76,112.863307,32.753445
77,112.863304,32.75343
78,112.863293,32.7534
79,112.863282,32.753352
80,112.863275,32.75332
81,112.86327,32.753296
82,112.86326,32.753264
83,112.863255,32.753239
84,112.863251,32.753225
85,112.863245,32.753194
86,112.863238,32.753169
87,112.863229,32.753131
88,112.863226,32.753107
89,112.863219,32.753084
90,112.863214,32.753059
91,112.863211,32.753036
92,112.863207,32.753019
93,112.863202,32.753003
94,112.863197,32.752978
95,112.863191,32.752955
96,112.863188,32.752938
97,112.863191,32.752952
98,112.863207,32.752983
99,112.863209,32.752944
100,112.863209,32.75291
101,112.863206,32.752885
102,112.863188,32.75284
103,112.863163,32.752811
104,112.863151,32.752792
105,112.863156,32.753379
106,112.86316,32.753397
107,112.863162,32.753414
108,112.863173,32.753452
109,112.863182,32.753486
110,112.863193,32.753538
111,112.863207,32.753574
112,112.863217,32.753583
113,112.863217,32.753582
114,112.863217,32.75358
115,112.863215,32.753577
116,112.863216,32.753574
117,112.863216,32.753573
118,112.863182,32.753552
119,112.863206,32.753551
120,112.863217,32.753549
121,112.863248,32.753543
122,112.863272,32.753531
123,112.863289,32.753523
124,112.863321,32.753498
125,112.863313,32.753504
126,112.863301,32.753526
127,112.863297,32.753503
128,112.863291,32.753481
129,112.863278,32.753447
130,112.863269,32.753406
131,112.863266,32.753388
132,112.863258,32.753349
133,112.863252,32.753324
134,112.863243,32.753296
135,112.863237,32.75327
136,112.863232,32.753251
137,112.863227,32.753231
138,112.863222,32.753197
139,112.863219,32.75318
140,112.863217,32.753172
141,112.863205,32.753135
142,112.8632,32.75311
143,112.863198,32.753093
144,112.863189,32.753058
145,112.863188,32.753041
146,112.863183,32.753014
147,112.863175,32.752988
148,112.863168,32.752963
149,112.863164,32.752946
150,112.86316,32.75293
151,112.863162,32.752933
152,112.863162,32.752954
153,112.863182,32.753
154,112.863192,32.752971
155,112.8632,32.752961
156,112.863215,32.752924
157,112.86321,32.752871
158,112.863157,32.7528
159,112.863158,32.75327
160,112.863163,32.753296
161,112.863169,32.753315
162,112.86318,32.753369
163,112.863185,32.753386
164,112.863193,32.753422
165,112.863197,32.753439
166,112.863202,32.753456
167,112.863212,32.753493
168,112.863218,32.753518
169,112.863225,32.753538
170,112.86326,32.753563
171,112.863218,32.753543
172,112.863232,32.753538
173,112.863267,32.753515
174,112.863288,32.753496
175,112.863293,32.753486
176,112.863278,32.75351
177,112.863278,32.753518
178,112.863262,32.753465
179,112.863258,32.753445
180,112.86325,32.753405
181,112.863242,32.753355
182,112.863229,32.753315
183,112.863222,32.753286
184,112.863218,32.753267
185,112.86321,32.753228
186,112.863202,32.753199
187,112.863198,32.753179
188,112.863185,32.75314
189,112.863183,32.75312
190,112.863179,32.7531
191,112.863169,32.753059
192,112.863162,32.753039
193,112.863164,32.752964
194,112.863184,32.752999
195,112.863198,32.752964
196,112.863211,32.75294
197,112.863212,32.752889
198,112.863198,32.752853
199,112.86319,32.75283
200,112.863174,32.752853
201,112.863166,32.752833
202,112.863152,32.75314
203,112.863159,32.753194
204,112.863192,32.75331
205,112.863204,32.753363
206,112.863214,32.753402
207,112.863156,32.753628
208,112.863334,32.753521
209,112.863326,32.753527
210,112.863341,32.753526
211,112.863386,32.753521
212,112.8634,32.753518
213,112.863458,32.753506
214,112.863499,32.753493
215,112.863521,32.753484
216,112.863538,32.753478
217,112.863529,32.753479
218,112.863485,32.753495
219,112.863489,32.753496
220,112.863515,32.753472
221,112.863524,32.753448
222,112.863526,32.753428
223,112.863525,32.753397
224,112.863521,32.753376
225,112.863519,32.75336
226,112.863514,32.753332
227,112.863511,32.753315
228,112.863503,32.753287
229,112.863496,32.753254
230,112.863489,32.753228
231,112.863481,32.753189
232,112.863476,32.75316
233,112.863475,32.753152
234,112.863467,32.753124
235,112.863461,32.753102
236,112.86346,32.753088
237,112.863458,32.753079
238,112.863451,32.753051
239,112.863447,32.753036
240,112.863436,32.752986
241,112.863433,32.752972
242,112.863428,32.752949
243,112.863419,32.75291
244,112.863414,32.752896
245,112.863404,32.752865
246,112.863396,32.752833
247,112.86339,32.752817
248,112.863383,32.752786
249,112.863377,32.752758
250,112.863373,32.752727
251,112.86337,32.752707
252,112.86337,32.752705
253,112.863367,32.752684
254,112.86337,32.75271
255,112.863378,32.752747
256,112.863387,32.752803
257,112.863385,32.752789
258,112.863363,32.752752
259,112.863357,32.752732
260,112.863351,32.752719
261,112.863351,32.752716
262,112.863344,32.752688
263,112.863352,32.752712
264,112.863354,32.752721
265,112.863313,32.752695
266,112.863307,32.752693
267,112.863325,32.752699
268,112.863284,32.752704
269,112.863275,32.752705
270,112.863236,32.752715
271,112.863208,32.752721
272,112.863171,32.752732
273,112.863227,32.752716
274,112.863205,32.752732
275,112.863184,32.752755
276,112.863176,32.752764
277,112.863197,32.752733
278,112.863202,32.752803
279,112.86322,32.752858
280,112.863225,32.752882
281,112.863228,32.752893
282,112.863241,32.752964
283,112.863252,32.753023
284,112.863259,32.753072
285,112.863276,32.753152
286,112.863288,32.753202
287,112.863292,32.753222
288,112.863302,32.753262
289,112.863308,32.753292
290,112.863313,32.753312
291,112.863318,32.753331
292,112.863327,32.753369
293,112.863331,32.753399
294,112.863342,32.753439
295,112.86335,32.753467
296,112.863356,32.753486
297,112.863375,32.753521
298,112.863368,32.753515
299,112.863345,32.753484
300,112.863384,32.753495
301,112.863458,32.753483
302,112.86348,32.753472
303,112.863524,32.753455
304,112.863533,32.753456
305,112.863525,32.753456
306,112.863485,32.753476
307,112.863496,32.753467
308,112.863508,32.75343
309,112.863498,32.753385
310,112.863491,32.753357
311,112.863484,32.753335
312,112.863477,32.753307
313,112.863474,32.753297
314,112.863468,32.753278
315,112.863468,32.753278
316,112.863465,32.753258
317,112.863459,32.753239
318,112.863457,32.753228
319,112.863452,32.7532
320,112.863448,32.753179
321,112.863439,32.753138
322,112.863434,32.75312
323,112.863426,32.753078
324,112.86342,32.753048
325,112.863418,32.753039
326,112.863411,32.753011
327,112.863402,32.752972
328,112.863397,32.752952
329,112.863389,32.752913
330,112.863383,32.752882
331,112.863379,32.752864
332,112.863369,32.752825
333,112.86336,32.752795
334,112.863353,32.752774
335,112.86333,32.75273
336,112.863313,32.752702
337,112.863288,32.752692
338,112.863271,32.752693
339,112.863279,32.752692
340,112.863249,32.75271
341,112.863224,32.752733
342,112.863204,32.752758
343,112.863194,32.75277
344,112.863209,32.752738
345,112.863211,32.752752
346,112.863218,32.752771
347,112.863233,32.752814
348,112.863238,32.752834
349,112.863241,32.752843
350,112.863251,32.752882
351,112.863256,32.752915
352,112.86326,32.752937
353,112.863267,32.75298
354,112.863273,32.753
355,112.86328,32.75304
356,112.863288,32.753071
357,112.863291,32.75309
358,112.863302,32.753129
359,112.863308,32.753161
360,112.863312,32.753182
361,112.863319,32.753213
362,112.863331,32.75327
363,112.863337,32.75329
364,112.863344,32.75333
365,112.863352,32.753368
366,112.863357,32.753388
367,112.863366,32.753428
368,112.863373,32.753459
369,112.863376,32.753496
370,112.863402,32.753518
371,112.863407,32.753517
372,112.863402,32.753515
373,112.863401,32.753515
374,112.863402,32.753514
375,112.8634,32.753515
376,112.863399,32.753512
377,112.863399,32.753511
378,112.863371,32.753487
379,112.863376,32.753484
380,112.863418,32.753473
381,112.863441,32.753467
382,112.863475,32.753453
383,112.863499,32.753439
384,112.863513,32.753428
385,112.863493,32.753441
386,112.863487,32.753453
387,112.863483,32.753436
388,112.863476,32.7534
389,112.863469,32.753377
390,112.863465,32.753362
391,112.863458,32.753324
392,112.86345,32.753304
393,112.863446,32.753286
394,112.86344,32.753253
395,112.863431,32.753225
396,112.863426,32.75321
397,112.863422,32.753193
398,112.863416,32.753157
399,112.863413,32.753131
400,112.863409,32.753115
401,112.863401,32.753081
402,112.863399,32.753064
403,112.863393,32.753045
404,112.863382,32.753009
405,112.863377,32.752981
406,112.863368,32.75295
407,112.863362,32.752923
408,112.863358,32.752906
409,112.863348,32.752853
410,112.863345,32.752834
411,112.863334,32.7528
412,112.863319,32.752767
413,112.863312,32.75275
414,112.863296,32.752716
415,112.863268,32.752699
416,112.863245,32.752696
417,112.863272,32.752698
